#{"t_start": 1575120695.6702447, "env_id": "Taxi-v3"}
r,l,t
2,19,239.760417
7,14,239.822913
9,12,239.860684
7,14,239.907551
8,13,239.960938
3,18,240.023433
5,16,240.076824
8,13,240.130205
10,11,240.161462
7,14,240.208334
8,13,240.261723
6,15,240.308595
5,16,240.361983
4,17,240.430988
5,16,240.493492
15,6,240.509116
7,14,240.562509
10,11,240.593755
11,10,240.631509
7,14,240.694014
11,10,240.73177
10,11,240.763024
8,13,240.809899
6,15,240.863288
8,13,240.91016
9,12,240.96355
12,9,240.994798
3,18,241.048189
14,7,241.07944
-4,16,241.132817
7,14,241.179701
7,14,241.233081
7,14,241.279959
0,12,241.333339
7,14,241.380219
11,10,241.411468
-6,18,241.480476
5,16,241.533861
14,7,241.549493
4,17,241.627613
7,14,241.681001
12,9,241.71427
13,8,241.734403
7,14,241.781282
12,9,241.812531
8,13,241.865918
7,14,241.912791
12,9,241.950557
11,10,241.981805
-6,18,242.050825
9,12,242.097697
11,10,242.128945
12,9,242.166709
3,18,242.229205
9,12,242.266971
9,12,242.313842
8,13,242.367255
8,13,242.414114
4,17,242.467503
6,15,242.529998
3,18,242.599011
10,11,242.636767
7,14,242.683647
10,11,242.733753
6,15,242.772246
8,13,242.819117
14,7,242.852383
6,15,242.899254
6,15,242.952646
10,11,242.983891
6,15,243.037273
9,12,243.06853
6,15,243.131026
3,18,243.184415
4,17,243.253425
7,14,243.300296
5,16,243.353685
-14,17,243.40056
1,20,243.469571
5,16,243.532066
5,16,243.585457
3,18,243.638837
10,11,243.685716
11,10,243.732588
3,18,243.785975
-6,18,243.854992
9,12,243.88624
10,11,243.933112
10,11,243.970875
-6,18,244.033371
-1,13,244.071136
4,17,244.133632
8,13,244.171396
8,13,244.218269
4,17,244.287278
-6,9,244.318527
2,19,244.387544
15,6,244.418792
5,16,244.48781
8,13,244.534681
3,18,244.588072
13,8,244.619324
12,9,244.657083
13,8,244.672705
3,18,244.757348
4,17,244.81984
4,17,244.873234
8,13,244.920101
4,17,244.973493
4,17,245.035988
13,8,245.05813
8,13,245.104997
8,13,245.142752
8,13,245.189636
6,15,245.243013
-2,14,245.289894
3,18,245.358909
9,12,245.405782
3,18,245.45917
7,14,245.506042
11,10,245.543797
4,17,245.606304
12,9,245.644058
7,14,245.690942
7,14,245.744322
12,9,245.775576
12,9,245.806824
-4,16,245.860216
8,13,245.90709
4,17,245.976104
10,11,246.007347
10,11,246.045108
-5,17,246.107614
8,13,246.145372
-5,17,246.207875
3,18,246.27689
6,15,246.32376
-3,15,246.377144
5,16,246.44615
7,14,246.49303
10,11,246.539904
13,8,246.562045
7,14,246.608917
2,19,246.677929
-8,20,246.746938
5,16,246.809442
9,12,246.847206
10,11,246.894088
